sweep,value,err_v_px,err_u_px,err_mag_px,spurious
offset_v,0.000,+0.061859,-0.031466,0.069402,False
offset_v,0.100,+0.041511,-0.055944,0.069662,False
offset_v,0.200,+0.036897,-0.047596,0.060223,False
offset_v,0.300,+0.045096,-0.042658,0.062075,False
offset_v,0.400,+0.084383,-0.057059,0.101863,False
offset_v,0.500,+0.119320,-0.044000,0.127174,False
offset_v,0.600,+0.105356,-0.019299,0.107109,False
offset_v,0.700,+0.081118,-0.022343,0.084139,False
offset_v,0.800,+0.132655,-0.044750,0.140000,False
offset_v,0.900,+0.080654,-0.047052,0.093375,False
offset_u,0.000,+0.141390,-0.001813,0.141402,False
offset_u,0.100,+0.092886,+0.034278,0.099009,False
offset_u,0.200,+0.075707,-0.005441,0.075902,False
offset_u,0.300,+0.045096,-0.042658,0.062075,False
offset_u,0.400,+0.015597,-0.042680,0.045440,False
offset_u,0.500,+0.028832,-0.024392,0.037766,False
offset_u,0.600,+0.081068,+0.046214,0.093315,False
offset_u,0.700,+0.104324,+0.072872,0.127255,False
offset_u,0.800,+0.136384,+0.055427,0.147217,False
offset_u,0.900,+0.156314,+0.076153,0.173877,False
phase,0.000,-0.415241,+0.234266,0.476766,False
phase,5.000,-0.211862,+0.110320,0.238864,False
phase,10.000,-2.404363,+1.258062,2.713611,False
phase,20.000,+0.092659,+0.004128,0.092751,False
phase,30.000,+0.045096,-0.042658,0.062075,False
phase,40.000,+0.010497,-0.073738,0.074481,False
phase,50.000,-0.021726,-0.079444,0.082361,False
phase,60.000,-0.026580,-0.079360,0.083693,False
diameter,110.000,+0.032603,+0.011463,0.034560,False
diameter,140.000,+0.046360,-0.044672,0.064380,False
diameter,170.000,+0.050491,-0.047937,0.069623,False
diameter,200.000,+0.053619,-0.081828,0.097831,False
diameter,230.000,+0.032345,-0.077980,0.084422,False
illumination,0.000,+0.033653,+0.045765,0.056806,False
illumination,45.000,+0.006575,-0.114270,0.114459,False
illumination,90.000,-0.015602,-0.103883,0.105048,False
illumination,135.000,-0.070481,-0.070481,0.099675,False
illumination,180.000,-0.103883,-0.015602,0.105048,False
illumination,225.000,-0.114270,+0.006575,0.114459,False
illumination,270.000,+0.045765,+0.033653,0.056806,False
illumination,315.000,+0.096385,+0.095275,0.135526,False
