image_id,flags,camera,filters,phase_deg,outcome,attribution,haze_dv_px,haze_du_px,haze_confidence,envelope_diameter_px,arc_residual_rms_px,fitted_haze_radius_km,ensemble_status,ensemble_status_reason
N1477239260_2,clean,NAC,CL1+CB3,22.253,spurious,arc_residual,,,0.0,648.909,2.637,2729.503,failed,all_techniques_spurious
N1481359160_1,clean,NAC,CL1+MT3,22.538,committed,,-0.9729,-1.0157,0.776,312.449,1.154,2869.571,success,ok
N1481452791_1,clean,NAC,CL1+CB3,18.153,spurious,ray_yield,,,0.0,1000.296,0.0,0.0,failed,all_techniques_spurious
N1484962455_2,known_bad,NAC,CL1+CL2,81.374,committed,,6.5132,26.1172,0.839,345.461,0.67,2809.795,success,ok
N1487425892_2,clean,NAC,CL1+CL2,113.906,committed,,12.1584,-6.1617,0.664,489.203,1.849,2813.876,success,ok
N1487517693_1,rings_occluding,NAC,CL1+CL2,95.824,spurious,arc_residual,,,0.0,402.493,62.181,3018.353,success,ok
N1496550260_1,clean,NAC,CL1+MT3,10.367,spurious,arc_residual,,,0.0,811.754,2.244,2736.651,failed,all_techniques_spurious
N1498705305_2,clean,NAC,CL1+CL2,81.954,committed,,9.912,50.8673,0.777,429.028,1.196,2775.546,success,ok
N1504004058_2,known_bad,NAC,CL1+CL2,87.856,spurious,ray_yield,,,0.0,344.956,0.0,0.0,success,ok
N1515117363_1,moon_occluding;rings_occluding,NAC,CL1+CL2,,gated,reliability_0.000_below_threshold_0.300,,,,,,,success,ok
N1515117689_1,moon_occluding;rings_occluding,NAC,CL1+CL2,,gated,reliability_0.000_below_threshold_0.300,,,,,,,success,ok
N1515118239_1,near_edge;rings_occluding,NAC,CL1+CL2,,gated,reliability_0.000_below_threshold_0.300,,,,,,,success,ok
N1515118349_1,off_edge;rings_occluding,NAC,CL1+CL2,,gated,reliability_0.000_below_threshold_0.300,,,,,,,success,ok
N1515118569_1,off_edge;rings_occluding,NAC,CL1+CL2,,gated,reliability_0.000_below_threshold_0.300,,,,,,,success,ok
N1516297000_1,high_phase;rings_occluding,NAC,CL1+CL2,,gated,reliability_0.000_below_threshold_0.300,,,,,,,failed,all_features_gated
N1521670512_1,high_phase;moon_occluding;rings_occluding,NAC,CL1+CL2,,gated,reliability_0.000_below_threshold_0.300,,,,,,,success,ok
N1524901622_1,rings_occluding,NAC,CL1+CL2,,gated,reliability_0.000_below_threshold_0.300,,,,,,,conflicted,conflicted_techniques
N1528719506_1,high_phase;moon_occluding,NAC,CL1+CL2,,gated,reliability_0.000_below_threshold_0.300,,,,,,,failed,final_confidence_below_threshold
N1552432154_1,clean,NAC,P120+GRN,54.691,spurious,peak_score,,,0.0,815.206,1.844,2071.823,failed,all_techniques_spurious
N1585391759_1,clean,NAC,CL1+MT3,66.167,committed,,11.0803,-27.4812,0.674,845.869,1.677,2813.351,success,ok
N1604954125_1,clean,NAC,CL1+CB3,55.593,committed,,16.9649,2.9637,0.67,615.623,1.701,2721.085,success,ok
N1604954566_1,clean,NAC,CL1+MT1,55.446,committed,,16.3436,0.4183,0.75,614.543,1.379,2787.194,success,ok
N1609608920_1,clean,NAC,CL1+MT1,54.517,committed,,5.0394,-80.8844,0.713,630.935,1.571,2803.776,success,ok
N1627588920_1,clean,NAC,CL1+UV3,86.401,committed,,0.3496,4.5947,0.875,200.592,0.308,2887.782,success,ok
N1634462210_1,known_bad,NAC,CL1+CL2,80.938,committed,,4.0603,-7.1708,0.722,375.849,0.671,2833.738,success,ok
N1634462549_1,moon_occluding,NAC,CL1+CL2,80.992,committed,,3.1933,-6.4018,0.626,375.678,1.686,2805.369,success,ok
N1634463001_1,moon_occluding,NAC,CL1+CL2,81.063,committed,,0.3621,-14.0597,0.559,375.451,1.856,2790.782,success,ok
N1634463227_1,clean,NAC,CL1+CL2,81.099,committed,,1.9836,-9.9373,0.527,375.338,1.71,2808.138,success,ok
N1634463453_1,off_edge,NAC,CL1+CL2,,gated,reliability_0.000_below_threshold_0.300,,,,,,,success,ok
N1635365580_1,known_bad,NAC,CL1+CL2,,gated,reliability_0.000_below_threshold_0.300,,,,,,,success,ok
N1635365617_1,clean,NAC,CL1+CL2,,gated,reliability_0.000_below_threshold_0.300,,,,,,,failed,lone_blob_in_collapsed_regime
N1636847787_1,clean,NAC,CL1+CL2,87.292,spurious,arc_residual,,,0.0,626.632,2.632,2792.837,success,ok
N1637959164_1,clean,NAC,CL1+CL2,,gated,reliability_0.000_below_threshold_0.300,,,,,,,success,ok
N1647091889_1,clean,NAC,RED+CL2,114.149,committed,,3.9161,0.3721,0.617,307.207,1.556,2838.185,success,ok
N1647092276_1,moon_occluding,NAC,BL1+CL2,114.192,committed,,-5.0609,-10.2328,0.658,307.261,1.18,2899.636,success,ok
N1647092509_1,moon_occluding,NAC,CL1+GRN,114.218,spurious,valid_fraction,,,0.0,307.295,1.574,2891.973,success,ok
N1647092996_1,near_edge,NAC,BL1+CL2,114.272,committed,,3.3025,-11.8949,0.731,307.364,0.523,2874.961,success,ok
N1647460607_1,clean,NAC,CL1+MT1,157.606,spurious,arc_residual,,,0.0,569.404,2.168,2848.672,failed,all_techniques_spurious
N1649556181_1,near_edge,NAC,RED+CL2,61.583,committed,,-0.6616,-0.528,0.554,404.582,1.714,2855.629,success,ok
N1650467933_1,clean,NAC,RED+CL2,100.93,spurious,arc_residual,,,0.0,846.781,3.766,2788.804,success,ok
N1686939958_1,clean,NAC,RED+CL2,99.886,spurious,ray_yield,,,0.0,428.47,0.0,0.0,success,ok
N1689372665_1,clean,NAC,BL1+CL2,18.043,committed,,5.2053,-12.1456,0.652,340.241,1.351,2951.281,success,ok
N1701985038_1,off_edge,NAC,CL1+GRN,,gated,reliability_0.000_below_threshold_0.300,,,,,,,success,ok
N1701985208_1,moon_occluding,NAC,RED+CL2,60.997,committed,,-3.1827,-6.2537,0.64,345.53,1.15,2814.797,success,ok
N1701985412_1,moon_occluding,NAC,RED+CL2,,gated,reliability_0.000_below_threshold_0.300,,,,,,,success,ok
