seq,image_id,camera,filters,phase_deg,flags,haze_dv_px,haze_du_px,haze_confidence,envelope_diameter_px,arc_residual_rms_px,ensemble_status,preview_png
1,N1481359160_1,NAC,CL1+MT3,22.538,clean,-0.9729,-1.0157,0.776,312.449,1.154,ok,01_N1481359160_1.png
2,N1484962455_2,NAC,CL1+CL2,81.374,known_bad,6.5132,26.1172,0.839,345.461,0.67,ok,02_N1484962455_2.png
3,N1604954125_1,NAC,CL1+CB3,55.593,clean,16.9649,2.9637,0.67,615.623,1.701,ok,03_N1604954125_1.png
4,N1609608920_1,NAC,CL1+MT1,54.517,clean,5.0394,-80.8844,0.713,630.935,1.571,ok,04_N1609608920_1.png
5,N1634462210_1,NAC,CL1+CL2,80.938,known_bad,4.0603,-7.1708,0.722,375.849,0.671,ok,05_N1634462210_1.png
6,N1647092996_1,NAC,BL1+CL2,114.272,near_edge,3.3025,-11.8949,0.731,307.364,0.523,ok,06_N1647092996_1.png
7,N1689372665_1,NAC,BL1+CL2,18.043,clean,5.2053,-12.1456,0.652,340.241,1.351,ok,07_N1689372665_1.png
8,N1702239331_1,NAC,CL1+CL2,107.088,clean,-6.0733,16.1013,0.771,524.414,1.188,ok,08_N1702239331_1.png
9,W1548712675_1,WAC,CL1+RED,104.455,clean,2.4655,1.5451,0.778,557.828,1.186,ok,09_W1548712675_1.png
10,W1561790952_1,WAC,CL1+CL2,166.531,high_phase,-3.7155,-0.8126,0.743,478.43,1.386,ok,10_W1561790952_1.png
11,W1561794185_1,WAC,CL1+RED,166.559,high_phase,-0.538,-0.9698,0.762,522.782,1.164,ok,11_W1561794185_1.png
12,W1629929515_1,WAC,CL1+RED,13.386,clean,0.2582,-2.7143,0.61,629.768,1.951,ok,12_W1629929515_1.png
13,W1643375992_1,WAC,CL1+VIO,134.718,clean,4.0657,-0.9796,0.795,550.001,0.807,ok,13_W1643375992_1.png
14,W1643376091_1,WAC,CL1+RED,134.715,clean,3.5923,-0.9683,0.796,551.566,1.006,ok,14_W1643376091_1.png
15,W1655808364_1,WAC,CL1+RED,32.801,clean,2.7266,-3.2287,0.792,642.448,0.643,ok,15_W1655808364_1.png
16,W1676687378_1,WAC,CB3+CL2,151.125,rings_occluding,0.1736,1.7238,0.824,380.084,0.275,ok,16_W1676687378_1.png
17,W1681926856_1,WAC,CL1+VIO,16.378,clean,-1.3524,-1.7131,0.805,228.813,0.91,ok,17_W1681926856_1.png
18,W1721822901_1,WAC,CL1+CL2,149.197,high_phase,0.3167,-0.5743,0.752,630.408,0.816,ok,18_W1721822901_1.png
19,W1822132529_1,WAC,CL1+BL1,63.056,clean,0.9498,-0.9447,0.81,518.376,0.931,ok,19_W1822132529_1.png
20,W1883905091_1,WAC,CB3+CL2,79.8,clean,0.9345,1.4554,0.836,373.771,0.731,ok,20_W1883905091_1.png
